id,accX,accY,accZ,gyroX,gyroY,gyroZ,timestamp
024c5f76-3daa-41e6-a9b4-b50fcd232349,0.45,1.15,-0.11,,,,2024-03-22 16:00:35.432
024e3edc-96bb-4e5a-a4c1-c33e3d38ac5b,-0.0,-1.1,0.39,,,,2024-03-22 16:01:48.159
02518ad0-b260-4938-a432-bf9bd76edd3a,0.5,1.52,-0.03,,,,2024-03-22 16:04:57.649
0254927c-bfa2-4b7b-8a13-64ae31d7f94c,-0.36,0.08,0.78,,,,2024-03-22 16:03:51.952
025520e0-1438-4c16-a439-f3d4edbd7cc4,1.56,0.92,0.12,,,,2024-03-22 16:04:47.390
025761dc-4445-43cb-8c97-90bed2342a8f,0.59,1.25,-1.15,,,,2024-03-22 16:03:49.016
0257fbd9-a5f5-4c23-b09c-e41a1c3257bc,-0.02,0.91,0.16,,,,2024-03-22 16:02:22.935
025afb0c-53d9-4bce-8a3d-65f1ee312b92,-0.41,0.68,1.56,,,,2024-03-22 16:03:59.371
025c1bf3-0302-489f-a9e4-b825c5603281,2.62,-0.52,0.37,,,,2024-03-22 16:04:22.594
0264f3b9-0200-4fcc-a145-86390f66a5fe,0.3,0.96,0.07,,,,2024-03-22 16:04:49.142
02659750-890c-428d-b13d-3d6b14ec065d,0.1,0.71,-0.59,,,,2024-03-22 16:03:21.610
02686fc2-6d13-48de-96e9-459e20396efd,0.22,0.83,0.51,,,,2024-03-22 15:59:45.843
026ce350-a9cc-434d-9be1-6c7173363d5a,0.78,-0.53,-0.37,,,,2024-03-22 16:03:01.336
02706f53-a01b-437a-8993-c566069e9b4c,0.2,0.64,2.44,,,,2024-03-22 16:03:34.665
027b8eab-aa03-414f-8167-48b40560169d,0.79,-1.04,-1.99,,,,2024-03-22 16:02:40.992
027d2551-0feb-459e-9dda-725832b3f213,-0.0,0.45,-0.03,,,,2024-03-22 16:04:51.884
0286e537-ad81-4cf3-9311-ab5e501faf5d,0.03,0.84,-0.01,,,,2024-03-22 16:04:07.784
028bcc3e-aeeb-4715-b870-92df9ae23f17,0.01,-0.01,1.02,,,,2024-03-22 16:01:25.377
028c6e2f-92de-43e2-a22b-fc100038aad9,-0.23,-0.1,-0.31,,,,2024-03-22 16:01:12.028
028d1071-9297-4b57-9cc0-489973ac1c70,-0.33,-0.02,0.23,,,,2024-03-22 16:00:59.199
